geography	year	topic	category	sub_category	value_description	value
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	75-79 years	Count of persons	38
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	80-84 years	Count of persons	13
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	85-89 years	Count of persons	10
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	90-94 years	Count of persons	0
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	95-99 years	Count of persons	0
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 5 year groups	100 years and over	Count of persons	0
Carlton	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	791
Carlton	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	2925
Carlton	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	9099
Carlton	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	2629
Carlton	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	1126
Carlton	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	901
Carlton	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	726
Carlton	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	421
Carlton	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	238
Carlton	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	58
Docklands	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	694
Docklands	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	521
Docklands	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	3943
Docklands	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	2753
Docklands	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	1097
Docklands	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	1049
Docklands	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	653
Docklands	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	211
Docklands	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	30
Docklands	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	3
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	216
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	138
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	1006
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	1072
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	531
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	549
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	644
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	332
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	163
East Melbourne	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	44
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	565684
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	523032
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	695802
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	693232
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	621348
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	535552
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	418080
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	260113
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	139780
Greater Melbourne	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	32586
Kensington	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	1226
Kensington	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	687
Kensington	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	2431
Kensington	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	2754
Kensington	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	1533
Kensington	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	996
Kensington	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	737
Kensington	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	328
Kensington	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	151
Kensington	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	25
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	1081
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	3638
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	20258
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	7307
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	2173
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	1452
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	1011
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	379
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	77
Melbourne (CBD)	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	13
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	6854
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	12469
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	55997
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	27999
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	11339
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	8811
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	6824
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	3469
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	1637
City of Melbourne	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	550
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	1106
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	1561
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	5611
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	2711
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	1529
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	1081
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	813
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	404
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	194
North Melbourne	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	23
Parkville	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	343
Parkville	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	1283
Parkville	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	2868
Parkville	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	970
Parkville	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	404
Parkville	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	417
Parkville	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	419
Parkville	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	259
Parkville	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	289
Parkville	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	139
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	337
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	426
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	1291
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	1306
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	691
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	638
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	672
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	518
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	237
South Yarra (inc. Melbourne Remainder)	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	98
Southbank	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	804
Southbank	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	914
Southbank	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	7325
Southbank	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	5147
Southbank	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	1706
Southbank	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	1340
Southbank	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	946
Southbank	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	379
Southbank	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	91
Southbank	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	9
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	0-9 years	Count of persons	303
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	10-19 years	Count of persons	291
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	20-29 years	Count of persons	2181
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	30-39 years	Count of persons	1425
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	40-49 years	Count of persons	619
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	50-59 years	Count of persons	379
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	60-69 years	Count of persons	191
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	70-79 years	Count of persons	97
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	80-89 years	Count of persons	23
West Melbourne (Residential)	2016	Residents: Age and gender	Age - 10 year groups	90 years and over	Count of persons	0
Carlton	2016	Residents: Ethnicity	Indigenous status	Aboriginal and or Torres Strait Islander	Count of persons	69
Carlton	2016	Residents: Ethnicity	Indigenous status	Non Indigenous	Count of persons	17194
Carlton	2016	Residents: Ethnicity	Indigenous status	Indigenous status not stated	Count of persons	1708
Docklands	2016	Residents: Ethnicity	Indigenous status	Aboriginal and or Torres Strait Islander	Count of persons	24
Docklands	2016	Residents: Ethnicity	Indigenous status	Non Indigenous	Count of persons	9553
Docklands	2016	Residents: Ethnicity	Indigenous status	Indigenous status not stated	Count of persons	1391
East Melbourne	2016	Residents: Ethnicity	Indigenous status	Aboriginal and or Torres Strait Islander	Count of persons	20
East Melbourne	2016	Residents: Ethnicity	Indigenous status	Non Indigenous	Count of persons	4209
East Melbourne	2016	Residents: Ethnicity	Indigenous status	Indigenous status not stated	Count of persons	540
